id;uf;nome;populacao2010;pib2010;pibPerCapita2010;populacao2012;pib2012;pibPerCapita2012;populacao2014;pib2014;pibPerCapita2014;gini2000;gini2010
4310553;RS;Itacurubi;3441;45253.535;13151.27;3432;46853.074;13651.83;3550;63293.115;17829.05;0.534;0.6277
1713304;TO;Miranorte;12626;109322.964;8658.56;12747;120792.99;9476.19;13232;168175.56;12709.76;0.6107;0.4956
3204252;ES;Ponto Belo;6979;58983.012;8451.5;7088;65516.053;9243.24;7670;76627.085;9990.49;0.6416;0.5279
4321477;RS;Tiradentes do Sul;6461;59615.659;9227;6305;75766.773;12016.93;6432;100744.495;15663.01;0.518;0.4826
5203104;GO;Baliza;3714;32213.176;8673.45;3933;41737.198;10612.05;4321;60023.163;13891.04;0.5671;0.5763
3155108;MG;Rio do Prado;5213;25885.741;4965.61;5191;28403.072;5471.6;5324;32435.654;6092.35;0.6066;0.5025
1506161;PA;Rio Maria;17722;201449.035;11367.17;17728;228291.39;12877.45;17755;304686.746;17160.62;0.6212;0.5365
2401453;RN;Baraúna;24187;270431.728;11180.87;24977;442934.825;17733.71;26799;423164.731;15790.32;0.5522;0.4316
5214408;GO;Nazário;7874;91495.299;11619.93;8062;112152.93;13911.3;8532;134287.68;15739.3;0.5673;0.5004
5219506;GO;Santa Rosa de Goiás;2905;24807.828;8539.7;2813;31983.719;11369.97;2772;39448.632;14231.11;0.547;0.4325
3122355;MG;Divisa Alegre;5884;53488.592;9090.52;6046;56301.187;9312.14;6398;72500.473;11331.74;0.5711;0.5048
4302006;RS;Barros Cassal;11133;104410.343;9378.46;11101;107353.375;9670.6;11480;157535.9;13722.64;0.5271;0.5173
2516151;PB;Sossêgo;3173;16317.583;5142.64;3256;20391.938;6262.88;3427;24961.763;7283.85;0.4589;0.4987
1500347;PA;Água Azul do Norte;25061;180873.251;7217.32;25506;224991.927;8821.14;26105;320716.717;12285.64;0.6328;0.526
4203709;SC;Canelinha;10603;129365.913;12200.88;10845;143960.789;13274.39;11452;181019.091;15806.77;0.4376;0.478
2925758;BA;Presidente Tancredo Neves;23857;108649.041;4554.18;24517;135065.349;5509.05;27187;180862.192;6652.52;0.5177;0.5517
4105409;PR;Chopinzinho;19673;255384.782;12981.49;19549;343400.615;17566.15;20034;511387.92;25526;0.5776;0.5521
4318408;RS;São Jerônimo;22141;346805.855;15663.51;22414;397588.254;17738.39;23399;487039.652;20814.55;0.6122;0.555
3302601;RJ;Mangaratiba;36311;1772367.044;48810.75;38201;2513981.795;65809.32;40008;3013794.704;75329.8;0.5634;0.5321
4121802;PR;Ribeirão Claro;10690;285197.605;26678.92;10645;343730.729;32290.35;10952;334423.472;30535.38;0.5017;0.5485
3204302;ES;Presidente Kennedy;10315;3082026.938;298790.78;10429;8104374.081;777099.83;11221;9146167.375;815093.79;0.644;0.4958
3106002;MG;Bela Vista de Minas;10012;115151.379;11501.34;10028;211390.044;21079.98;10362;241319.562;23288.9;0.4898;0.4125
3515608;SP;Fernando Prestes;5534;86619.158;15652.18;5550;113329.06;20419.65;5748;128278.9;22317.14;0.4834;0.4176
3548708;SP;São Bernardo do Campo;765203;42557431.743;55615.87;774886;45300599.167;58460.99;811489;47551620.298;58597.99;0.5556;0.5525
2909406;BA;Cotegipe;13638;61028.146;4474.86;13614;83841.711;6158.49;14396;105578.182;7333.86;0.5386;0.5599
2401503;RN;Barcelona;3957;19993.525;5052.7;3944;26455.916;6707.89;4067;29911.398;7354.66;0.5478;0.5008
4318432;RS;São João do Polêsine;2635;29941.973;11363.18;2572;38822.407;15094.25;2654;64358.372;24249.57;0.5586;0.5361
2303204;CE;Caririaçu;26387;100202.626;3797.42;26471;110840.924;4187.26;26840;155791.005;5804.43;0.5873;0.5175
3122405;MG;Divisa Nova;5760;47038.923;8166.48;5797;60242.162;10391.95;6011;65371.975;10875.39;0.4405;0.3952
4302055;RS;Benjamin Constant do Sul;2307;16711.563;7243.85;2244;15630.243;6965.35;2284;26004.878;11385.67;0.5315;0.4846
4318440;RS;São Jorge;2774;43725.784;15762.72;2759;50887.503;18444.18;2848;68881.497;24185.92;0.4192;0.3986
2516201;PB;Sousa;65807;549346.627;8347.84;66457;739932.272;11134;68434;926412.847;13537.32;0.5861;0.5475
2204907;PI;Isaías Coelho;8218;26549.933;3230.7;8307;33813.076;4070.43;8389;43637.167;5201.71;0.597;0.7972
2106607;MA;Matões;30930;88715.986;2868.28;32216;103810.801;3222.34;32773;141275.87;4310.74;0.5017;0.564
2925808;BA;Queimadas;24583;101895.762;4144.97;24602;123055.702;5001.86;26054;160095.641;6144.76;0.5739;0.5201
3548401;SP;Santópolis do Aguapeí;4281;42669.247;9967.12;4347;50988.722;11729.63;4572;56461.676;12349.45;0.4645;0.3517
1500404;PA;Alenquer;52714;361812.746;6863.69;53369;364444.628;6828.77;54353;528399.295;9721.62;0.5699;0.5968
3138807;MG;Luz;17492;243054.893;13895.2;17585;312753.553;17785.25;18230;426237.299;23381.09;0.6753;0.503
4318457;RS;São José das Missões;2720;30873.32;11350.49;2678;31630.287;11811.16;2748;47811.113;17398.51;0.6014;0.4333
2702207;AL;Coqueiro Seco;5523;25725.078;4657.81;5586;32080.826;5743.08;5844;48009.51;8215.18;0.6073;0.5025
3204351;ES;Rio Bananal;17538;178041.186;10151.74;17713;243675.869;13756.89;19038;321745.321;16900.16;0.5626;0.4989
1303809;AM;São Gabriel da Cachoeira;37300;162583.165;4358.8;39097;187652.125;4799.66;42342;242975.507;5738.4;0.7801;0.8082
5203203;GO;Barro Alto;8701;124125.855;14265.7;9089;474080.771;52159.84;9820;555903.447;56609.31;0.5014;0.4454
2106631;MA;Matões do Norte;13796;42199.555;3058.83;14755;49502.543;3354.97;15758;66988.323;4251.07;0.537;0.5754
3515657;SP;Fernão;1563;23330.13;14926.51;1583;26509.953;16746.65;1658;46274.608;27909.9;0.5831;0.4084
5104906;MT;Jangada;7696;103525.816;13451.9;7781;163379.583;20997.25;7889;256025.878;32453.53;0.5576;0.5726
5006606;MS;Ponta Porã;77866;1050414.9;13490.03;80433;1529316.101;19013.54;85251;2091131.866;24529.12;0.6232;0.6041
3171600;MG;Virgem da Lapa;13625;56939.738;4179.06;13611;70776.038;5199.91;14023;93453.577;6664.31;0.6055;0.4999
4215000;SC;Rio Negrinho;39849;653645.831;16403.07;40169;795632.004;19807.12;41386;962090.774;23246.77;0.4889;0.4457
3120003;MG;Córrego Novo;3129;21259.912;6794.47;3050;21087.133;6913.81;3065;31645.874;10324.92;0.4839;0.4347
5219605;GO;Santa Tereza de Goiás;3991;39420.681;9877.39;3889;41828.161;10755.51;3868;50230.626;12986.2;0.6335;0.5276
3122454;MG;Divisópolis;8970;42083.016;4691.53;9351;48881.863;5227.45;10027;59750.288;5958.94;0.5181;0.4569
4302105;RS;Bento Gonçalves;107341;3508007.188;32680.96;109653;4317554.675;39374.71;112318;5326217.653;47420.87;0.4788;0.4532
3532058;SP;Motuca;4290;70839.314;16512.66;4354;62921.333;14451.39;4571;65396.543;14306.84;0.4704;0.4843
4203808;SC;Canoinhas;52775;982357.1;18614.06;52937;1217087.401;22991.24;54079;1388256.868;25670.9;0.6021;0.5043
3155504;MG;Rio Paranaíba;11898;278907.862;23441.58;11939;374810.085;31393.76;12364;423689.725;34268.01;0.4728;0.5104
4318499;RS;São José do Inhacorá;2200;37786.105;17175.5;2170;45697.923;21058.95;2228;73021.983;32774.68;0.4326;0.3559
4105508;PR;Cianorte;69962;1212578.938;17331.97;71855;1650880.43;22975.16;76456;2235990.427;29245.45;0.5524;0.4141
3122470;MG;Dom Bosco;3817;28359.197;7429.71;3778;36247.313;9594.31;3857;42090.521;10912.76;0.5566;0.4267
4318507;RS;São José do Norte;25523;205441.909;8049.29;25761;237535.266;9220.73;26853;318799.07;11872.01;0.5167;0.4423
3302700;RJ;Maricá;127519;1873273.354;14690.15;135121;6970531.047;51587.33;143111;9752909.863;68149.27;0.5511;0.5098
4121901;PR;Ribeirão do Pinhal;13522;108051.534;7990.8;13401;141474.343;10557;13692;154162.826;11259.34;0.5776;0.5064
2106672;MA;Milagres do Maranhão;8118;30795.205;3793.45;8195;34601.32;4222.25;8261;47311.189;5727.05;0.5271;0.5357
3204401;ES;Rio Novo do Sul;11333;114114.545;10069.23;11334;148461.614;13098.78;12020;168072.772;13982.76;0.552;0.4892
3106101;MG;Belmiro Braga;3404;30131.042;8851.66;3400;34333.143;10097.98;3500;42595.221;12170.06;0.4875;0.4543
3300233;RJ;Armação dos Búzios;27538;1869297.147;67880.64;28973;3284323.095;113358.06;30439;3980275.415;130762.36;0.595;0.5462
3515707;SP;Ferraz de Vasconcelos;168290;2133262.675;12676.11;172222;2474715.006;14369.33;182544;2747745.986;15052.51;0.4879;0.4559
2909505;BA;Cravolândia;5042;21189.829;4202.66;5048;28077.372;5562.08;5552;34195.026;6159.05;0.5656;0.5316
2401602;RN;Bento Fernandes;5110;26051.354;5098.11;5175;31112.667;6012.11;5422;37271.277;6874.08;0.6586;0.4741
1506187;PA;Rondon do Pará;46974;333880.002;7107.76;48036;342576.453;7131.66;49476;470278.984;9505.19;0.5923;0.5647
2303303;CE;Cariús;18567;67279.58;3623.61;18586;69583.354;3743.86;18813;107225.716;5699.55;0.63;0.5277
3122504;MG;Dom Cavati;5210;27701.884;5317.06;5170;33413.41;6462.94;5288;46698.541;8831.04;0.5899;0.4487
4302154;RS;Boa Vista das Missões;2114;74989.03;35472.58;2103;56573.942;26901.54;2171;110001.201;50668.45;0.5908;0.4435
2205003;PI;Itainópolis;11099;40950.501;3689.57;11219;47282.266;4214.48;11330;63005.323;5560.93;0.6769;0.5033
2516300;PB;Sumé;16072;83975.738;5224.97;16215;105637.425;6514.8;16691;128559.521;7702.33;0.5308;0.5055
2106706;MA;Mirador;20434;83775.181;4099.79;20537;104755.922;5100.84;20586;137769.07;6692.37;0.5802;0.6466
2925907;BA;Quijingue;27243;111300.522;4085.47;27357;104100.002;3805.24;29088;143502.578;4933.39;0.655;0.5833
3548500;SP;Santos;419757;13546942.866;32273.3;419614;16850211.706;40156.46;433565;20147781.953;46470.04;0.536;0.5624
1500503;PA;Almeirim;33665;576867.404;17135.52;33563;467570.876;13931.14;33466;540606.259;16153.9;0.7184;0.6573
3112109;MG;Caparaó;5209;46432.166;8913.83;5241;63705.894;12155.29;5435;56398.935;10376.99;0.4853;0.4431
3138906;MG;Machacalis;6974;35378.895;5072.97;6985;46094.927;6599.13;7210;55217.571;7658.47;0.5327;0.4852
3502309;SP;Anhembi;5648;92814.402;16433.14;5822;102812.587;17659.32;6215;109854.973;17675.78;0.5632;0.4241
1303908;AM;São Paulo de Olivença;31426;108879.053;3464.62;32677;142978.811;4375.52;35757;190153.801;5317.95;0.6906;0.6433
